	T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT4G29905	2.15801589494869	2.35104177449967	2.27430310240426	2.24440136951682	2.35358058216634	2.32988257042788	2.10909356804335	2.0579677008285	2.03296672464368	2.04084300512823	1.88277338193938	1.98342830426959	2.02562458255637	1.94797426619645	1.92436396788883	1.94191064571448	2.30211685144209	1.83085300109364	2.01614450166443	1.9284195966255	2.21792078079186	1.95787589517701	1.69142069663128	1.98124179760951	2.12690057701019	2.11025680102351	2.2746926572712	2.3730449290199	2.58229293752326	2.48392103907278	2.66600143731022	2.78437347996298	2.81699875163131	2.76365979766516	2.94556925105725	2.69026327499147	2.77217132035749	2.62274656334437	2.92209475126682	3.10057033317648	3.19899615272408	3.21996822160645	3.24870967246405	3.31021894478326	3.33599915283263
AT1G24280	2.90841818030928	2.89825048469902	3.02638975698521	2.90580776779005	2.86675056836104	2.87637378552763	3.36739024798892	3.13193697795628	3.18166713343133	3.26313953807142	3.24985097526573	3.0365501262346	3.53594532397965	3.49372372027954	3.41603747513914	3.32603014760423	3.65012845451535	3.408726622748	3.17859202685574	3.08601648667605	3.39030161140633	3.28971704504702	3.25657729778204	3.1959020362911	2.86285734295161	3.07316031635017	3.22856342134556	4.00040771070609	4.01803659511888	4.12901507695953	4.43548953756356	4.32070623344408	4.36493187174719	4.53678308302785	4.42206914249005	4.47607796053996	4.55523484436668	4.43610479635073	4.45967558213611	4.47072883162827	4.49951330081014	4.49074846170957	4.05628461545667	4.17240199588382	4.08835274236069
AT5G41670	3.66323110854372	3.72128360873682	3.71685107395328	3.63318613259288	3.5601612647835	3.64921680983683	3.98308230672043	3.90916494668036	3.91843396826285	3.97087308684824	3.98902576502187	3.82622219149608	4.1521762823782	4.09972291714845	4.06681476229465	3.99985667682168	4.17838008451789	4.06395994466047	3.93746077831996	3.85556226548887	4.05186755865327	4.01130627338581	3.99777758989694	3.93542137657214	3.79440903163439	3.88742133521572	4.02741934009053	4.48079072957302	4.50168480848292	4.55783909440691	4.81957918016705	4.66770955901626	4.71343995545663	4.88373874439765	4.78641942638797	4.83779406063375	4.94010884770379	4.88592261626099	4.83250606670239	4.96612354161184	4.95976067704808	4.97216594421514	4.7381509669072	4.81388132820659	4.72631629893045
AT2G33550	3.19627978501757	3.1744145814253	3.2834611435395	3.20740804626008	3.29326588712326	3.24123577725328	3.25127525453395	3.06053116662818	3.13394693324704	3.11313349578148	3.03959621461472	2.96296212535856	3.19426420127505	3.22211943877993	3.19212392725225	3.18408451213432	3.46519485686252	3.22201465100212	3.09104599994593	3.02615165859976	3.31169048830439	3.00648729728471	3.01657389821984	3.09494194005968	3.15014815582066	3.36313620422755	3.27059622469845	3.75762017399069	3.86665125317746	3.86591056052899	4.07828394983853	4.10204663043881	4.09728933427536	4.15884242892755	4.26603248067979	4.20789414467008	4.22368497527651	4.17124799000434	4.2724289594378	4.06467401143412	4.17096084758007	4.16053444293216	3.95623889038342	4.0375836717679	4.0101829805231
AT1G43710	3.8232649020175	3.79206965596121	3.85950872648414	3.8216871533134	3.74913752591605	3.79655112315958	3.92251800519889	3.95106672203222	3.94239755057721	3.97255892069814	3.95703226407596	3.90661052070123	4.0589671408136	4.03124105576843	3.98732893959953	3.94874399656269	3.970494014666	3.97887664752376	3.92095138552992	3.86622518006005	3.97416442569036	3.90338979547087	3.87467012575336	3.88374444595304	3.81481589514119	3.93234737764455	3.91864921577434	4.1989874048265	4.20335631819944	4.22296753359561	4.37374682939744	4.2841767335781	4.29012927666852	4.39802787025567	4.40827394515246	4.39893807577392	4.46386839219443	4.4198787607954	4.47679564685125	4.38760820963499	4.39685793835357	4.4125267148543	4.21818352216187	4.26292554906307	4.21162259522913
AT5G07440	3.52681119963456	3.62292820877198	3.48925309308621	3.57202155834426	3.48146997433794	3.51501217402976	3.61778220725466	3.62240828029184	3.6239884221255	3.66237137565744	3.74501404750642	3.64834364989249	3.72787179439663	3.73716518421838	3.70132582996817	3.69862074076543	3.60364966083032	3.68898970650091	3.71352849621699	3.63973312402696	3.65521040545974	3.84932958790949	3.74780822292073	3.64276254173449	3.66882664673967	3.6311295815883	3.603414324879	3.60041142886956	3.6677747722632	3.60946339328377	3.76656735015439	3.6715155019052	3.67368569188564	3.72697263970168	3.76297743577728	3.70390298459503	3.77215260656569	3.79172166270286	4.02635378762444	4.31692400764421	4.23806380432785	4.15491106816285	4.35304032519319	4.43933658774569	4.41489052380825
AT4G09620	2.8896580655495	2.84747106416225	2.95186050572556	2.8797938640795	2.92809534849942	2.9321190061454	3.00718027773765	2.86687049251588	2.95196226857784	2.86761379354186	2.79399872405421	2.88899719577841	2.9174026385306	2.97431329011949	2.95786634648545	2.95577674578291	3.0336191057948	2.95811916277293	2.8080434817733	2.89463989148697	2.93027398458135	2.78616635246534	2.80147090304854	2.85920265074657	2.80830123664819	2.96339423219319	2.97979420482049	3.47975326695282	3.53872621034589	3.52101119058071	3.59064665905485	3.65629855359086	3.660128048497	3.63468967214948	3.72950304427503	3.67471152438029	3.74316257199145	3.64990014879139	3.66571234233355	3.47833959444598	3.53681743866191	3.56600279965246	3.36459521346143	3.40942861850257	3.39460647878986
AT1G56430	1.54072629180229	1.50697177820905	1.51702445897863	1.46843260335914	1.27375075403796	1.63522752100822	1.61134518033671	1.42208490683603	1.50453580967918	1.48145493551983	1.47247756581992	1.47310379794302	1.42790932581648	1.25316818199998	1.71199425786888	1.81639589120246	1.81646769928761	1.17182629529062	1.42339895106973	1.57062970453577	1.57155627620646	1.69209599790303	1.39696927007675	1.21572638707195	1.42712417465869	1.45237065756719	1.46184742095476	1.7585068348934	1.78365430416644	1.85899211417437	1.93057244309412	1.91145481994987	2.01212654018282	2.19379672012147	2.25256093768455	2.36098666067797	2.41769171985134	2.2679779394941	2.39789054204872	2.77826975545758	2.60070625373406	2.76405562504946	2.84141935199883	2.74692819171588	2.77599430346294
AT5G13420	3.95805119140475	3.94568956366423	3.97342049474576	3.97999467760889	3.87973918348925	3.98359852821411	4.16752047410331	4.09952440795976	4.10465842097001	4.2285690277599	4.24051198862838	4.06284470926996	4.27780566784609	4.27538568033944	4.22821973055026	4.2710616043628	4.28259405728761	4.28066587722862	4.23864585915272	4.14748929077726	4.21700401594852	4.32757665763951	4.28352354258377	4.19747331926712	3.99533386693649	4.08365964721909	4.12563486293906	4.2639162599909	4.29381426717878	4.34723695394795	4.60307161962097	4.53380819310818	4.56882815096836	4.69080334544143	4.66771638897087	4.64827672931299	4.76646520752729	4.69535728060093	4.75219914714818	4.92783462274275	4.8308899830638	4.88584064764371	4.7462887515518	4.83062968112414	4.73543593695265
AT1G68880	2.44042575136443	2.67349805238047	2.47989151228027	2.39637378757672	2.3745437649839	2.6319086912789	2.7471165567567	2.665559017087	2.7627374850445	2.60540881855436	2.51382508535386	2.74471839655996	2.82722128407803	2.78611866300674	2.81671257780468	2.798458548979	3.01815735270213	2.79330151432916	2.56270170156693	2.51568073512939	2.9489865425478	2.76516765164208	2.5996151401652	2.5635760604457	2.67073623831713	2.78999470464762	2.77121851480092	3.17625248637132	3.04273319061658	3.09820278269159	3.36042739787575	3.09261547180106	3.34138790878816	3.60794012755477	3.69262410922594	3.64166474544074	3.85111277275896	3.85961136151363	3.8843514134977	4.19709625621101	4.02536852170545	4.03844129844437	4.00350058823858	4.06647479891261	3.98376363895363
AT5G14070	1.30782180250295	1.23002389487072	0.997036900722872	1.20501693362517	1.34668787419976	1.18945412922305	1.19524329595584	1.39928795266214	1.31202973679944	1.34917760387247	1.45860277530707	1.38664611535766	1.3434530168204	1.50321750926299	1.40003083728801	1.23597748453084	1.44315964627115	1.4790295897267	1.26912495866525	1.22925433454301	1.67119019090071	1.08952521909386	1.20807295730786	1.45372367841406	1.08348908236893	0.984499661790641	1.2100986929839	1.56223516549172	1.83177733611418	1.64518932303242	2.03062011290255	1.96142642154298	2.01833023685109	1.9986917157757	2.00809606596557	1.96872463672312	2.09773441829315	2.004140885952	2.27172544845932	2.32279710665931	2.191276281201	2.1892648549152	2.65125881654629	2.5839106211343	2.55709137939167
AT3G23210	2.77501851470874	2.70674754260011	2.83469532417855	2.74110497118927	2.69416093284261	2.7066993838524	2.71941668865589	2.69968139124353	2.75803151907298	2.69073844158142	2.69164952889556	2.67280770104437	2.70726113476929	2.78764063795461	2.7683872141832	2.80223384399175	2.79539158539772	2.71323838343944	2.83528671930026	2.78344702400181	2.85614079579684	2.74128715398645	2.73561435834661	2.81918262879812	2.70195610789981	2.75678866802698	2.73274935981392	2.99615628104878	2.92687232888369	3.02618169226448	3.19090228347281	3.18394082199001	3.16507805025419	3.19714642205715	3.20455905152343	3.23209003675547	3.22607253250807	3.19159126891724	3.23757213548375	3.13312801143096	3.0957546500805	3.14499375173079	3.0810648605597	3.02693083058358	3.04398879820885
AT2G20670	1.679981958816	2.04866862406635	1.71741437938445	1.88201311714931	2.00524980852315	1.87124332828571	1.84952373974464	1.53830337512114	1.68661238086221	1.44758770323835	1.62131404363802	1.67111173361791	1.82622829521745	1.47293996187146	1.65733816012796	1.77038214724827	1.66874714375132	1.67907687623877	1.71824156880268	1.59364980906919	1.91633430879468	1.92341276671377	1.77913251471486	1.6353563439185	1.85372303328084	1.62000245269465	1.80927250043915	1.84049214060899	2.13689649708937	1.84336472774514	1.82598998089842	1.82372065865721	2.10209972689574	2.16210794431919	2.07177453287534	2.18679632338358	2.27420985162401	2.24774054004422	2.71537262385243	3.12844010330327	3.1500815735706	2.95836378939604	3.03905814130047	3.13929021499886	3.11861683264722
AT5G65010	3.04068345434358	2.88416236334606	3.00799308988982	2.9658698448565	2.98377775462397	2.92592017322005	3.00237167095795	3.12008052890685	3.08032848406383	3.10969627397023	3.14196218079668	3.00038261587968	2.98304793314202	3.00068004643607	3.13786971499944	3.10563183328903	3.1295998477185	3.08113718215666	3.0520109390896	3.04360303884061	3.19400988365522	3.15195891058181	3.11598843406625	3.26792971108675	2.93036181958504	3.03920961180428	2.9528909771942	3.06925842330445	3.11180602493522	3.18747252435988	3.4209169505303	3.46106477980044	3.37921289222891	3.6409714379693	3.55087606292412	3.61664645920891	3.61383339722023	3.58388773026362	3.65648186308654	3.76083440028155	3.71466879968622	3.69816535435741	3.59356146844356	3.60739522980777	3.54612901580855
AT1G30820	3.1746167707167	3.08082289920714	3.12469972085315	3.16755101252306	3.11392345902668	3.14636347427244	2.95427097293812	3.03853832972911	3.02258968190941	2.99244206455889	2.99069494854592	3.08705005173895	2.99099127036927	3.02067832000587	3.1003361256967	2.99991144449347	3.09427762379079	3.02757700472049	3.0808082015536	3.12794213476339	3.26187995939547	3.07105423316991	3.07337571141846	3.17122573471199	3.11425977470198	3.06458524287869	2.99324819907428	2.99745948430445	3.0068598868003	2.99925133474152	3.03945339803444	3.10210765106337	2.93984991842148	3.17401362912039	3.16511439169585	3.17251348773595	3.14424021495976	3.2491884767358	3.33024840162449	3.86394202817827	3.72488875125918	3.65067098091665	3.91491918476463	4.03534913030986	3.93297888601807
