T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT4G29905	143.135123848764	223.659777168546	187.312888566846	174.800216546397	224.975478416273	212.988408069796	127.8063602707	113.529334027055	107.136405721162	109.110862715835	75.593731240938	95.5061094957193	105.327819161783	87.9603445811335	83.2663805143817	86.730376946886	199.751142394977	66.9912180027049	103.037368736531	84.0546364335745	164.416049306386	90.006114670738	48.3883643999496	95.0227146639144	133.187003048639	128.151152690942	187.481653502325	235.322244411097	381.45198434119	303.984088924757	462.698453529886	607.908203704813	655.393380232357	579.559656860882	881.454464115511	489.32581970415	591.04503926597	418.76410112157	835.035344015524	1259.82976989309	1580.48403156175	1658.71547583157	1772.25382473228	2042.01752388691	2166.94987633771
AT1G24280	809.125349382492	790.384793187557	1061.89880209587	804.272034601456	735.034387497441	751.520074002371	2329.43417223312	1354.24277017987	1518.6325471155	1832.15323643673	1776.91931213267	1087.05268448498	3434.3969798595	3116.15610985601	2605.62844390126	2117.75819152586	4467.40730626603	2562.12026747187	1507.91226170193	1218.2858750553	2455.66426858777	1947.82463543854	1804.66604500721	1569.2586178963	728.467937406278	1182.72834671015	1691.88540709137	10008.6422939403	10423.3026227845	13458.3207773116	27256.9707251609	20926.2143005381	23169.5614623452	34417.048132229	26427.5447937422	29927.26828573	35910.8573857313	27295.6137146671	28818.0293680829	29560.9109480915	31586.6078716501	30955.5082957139	11382.9807570344	14872.3670525783	12255.3626022805
AT5G41670	4604.26562955962	5262.85885340633	5209.41016315686	4296.45559576882	3631.37900084892	4458.03785833895	9617.195387085	8111.94122417123	8286.94897456791	9350.57362044974	9749.72481819851	6701.52420000862	14195.5864139954	12580.4746493602	11662.3704903375	9995.9504063468	15078.5119110586	11585.9548608889	8658.11120565911	7169.96175843021	11267.7876129914	10263.0049215583	9948.20782640781	8617.54541432645	6228.11662426839	7715.7673182671	10650.9601501831	30253.8022197633	31744.9427395196	36126.8485514149	66004.6063647467	46526.7329894812	51693.228213767	76512.8690622706	61152.4836303971	68831.8319717171	87117.4407876313	76898.5906800118	67998.8043861698	92495.375568951	91150.0903779016	93791.2818453744	54719.8646436303	65144.2859687691	53248.8437637095
AT2G33550	1570.62480323977	1493.47012496416	1919.95710781017	1611.40964652334	1963.81266846571	1742.00275218061	1782.75879180516	1148.80873717853	1360.52833673087	1296.82806623716	1094.70921908173	917.502512571236	1563.34886643501	1666.95579852538	1555.6596944882	1527.11334598884	2917.98628282392	1666.55345838308	1232.48544911774	1061.31637328176	2048.95088346145	1014.29967686639	1038.15036348983	1243.59824628113	1412.26950183893	2306.72074843695	1863.89527365419	5722.20293055337	7355.41146338972	7342.87616482532	11974.4823845058	12647.9715020302	12510.172512968	14415.1721698352	18450.7841217399	16138.901195617	16736.5336118886	14832.8987152935	18724.5575511406	11605.0213856152	14823.0943952824	14471.4462432245	9040.7167679838	10903.1954905231	10236.4922533958
AT1G43710	6656.04069624064	6194.65434441658	7235.41942111149	6631.90111192151	5611.50668492497	6258.91545502666	8365.25279231654	8933.67735617658	8757.10096860641	9386.94390802168	9057.24890979387	8064.36418944192	11453.5127398622	10745.1069715758	9711.70321023837	8886.02115200121	9342.4149166083	9524.50580164773	8335.12868442729	7348.19809592791	9421.71267341095	8004.77458296038	7492.49833311037	7650.71235638682	6527.78738112783	8556.75925780141	8291.0575893504	15811.2718143557	15971.1402830427	16708.9069382927	23644.6589396154	19237.9947900449	19503.5009742735	25004.3082309627	25601.2530601059	25056.7694291399	29097.6019330939	26294.5881933463	29976.7662348214	24411.5225307285	24937.0385592983	25853.1887058647	16525.8502415317	18319.2533633316	16278.0577865654
AT5G07440	3362.90309862663	4196.14601294279	3084.2352583139	3731.93686364357	3029.44079333057	3272.74870936517	4146.71001024278	4191.12458116544	4206.40412365415	4595.15852041793	5558.47238606206	4449.08235920508	5343.31576983653	5458.90479967547	5026.44614080719	4995.23057099154	4013.91822623419	4885.657776092	5169.70182756943	4361.72673637838	4519.99910987905	7067.78785074706	5594.35476596689	4392.26353897958	4663.98145431912	4276.15478249982	4011.74334290413	3984.09496075749	4652.69700367094	4068.02236649307	5841.32798699036	4692.95187931629	4716.46522839899	5332.26296759538	5793.2359238674	5056.36680360955	5916.94539309119	6189.69205385736	10624.8579449522	20744.7548320396	17299.9551367153	14285.2638938964	22543.7353291493	27499.4965680751	25994.2920210487
AT4G09620	774.886192058957	703.085331776608	894.327222863273	757.467605034388	846.663441673454	854.551051889793	1015.92063018096	735.23759179426	894.536979807758	736.498323331886	621.548456869935	773.706797150715	826.054132302525	941.819299295551	906.791192674913	902.435061396713	1079.73590483771	907.319654352424	642.002066743003	783.834802404658	850.925167462872	610.426085395133	632.347943862977	722.357141571311	642.383654948011	918.416594285081	953.790159565228	3017.4865011195	3456.46358077697	3318.28009675007	3895.49859839061	4531.34029141931	4571.47978536791	4311.35842298949	5363.42631555031	4727.62077486774	5534.82286770495	4465.05904294107	4630.65054408609	3007.67780854477	3441.30209207934	3680.56346770791	2314.48571593563	2566.26625357711	2480.13411755516
AT1G56430	33.981720050426	31.3845171188122	32.1370151952922	28.6557732043274	18.0323856745867	42.4245203065855	40.1144050484678	25.6792541251672	31.2047783653869	29.5508586522053	28.9309341786306	28.9737635548811	26.036090129879	17.1629940646114	50.7721832404766	64.7733194919782	64.7841542902627	14.1034143163589	25.7593421841328	36.4574326699841	36.5368998458634	48.4648309765512	24.1941821999748	15.6833606726849	25.9877079119296	27.5880953709666	28.2132585367577	56.5964891621624	60.0151122030139	71.5256679822957	84.4760662046264	80.8057939484925	102.081587440254	155.491615255359	178.129650505742	228.857812316411	260.882517331683	184.59374734578	249.221526344256	599.413743149135	398.005102838542	580.088807410486	693.345696948552	557.627862292195	596.277455465849
AT5G13420	9078.52543619904	8823.73895087523	9405.58614722786	9549.05882412204	7580.47146358342	9628.63449652116	14706.1274693964	12574.7252831871	12724.2684581259	16925.8225787939	17397.7572567107	11556.239248982	18957.8239904787	18852.4762928466	16912.2142374028	18665.6945424172	19168.0116506315	19083.09485456	17323.1576188293	14043.2005231853	16481.0263225775	21259.9058550471	19209.0809312254	15756.2421722815	9892.38343985047	12123.6330076993	13353.9723390273	18361.0925892405	19669.6987232149	22244.482742494	40092.5330117753	34182.0940062731	37052.6573542198	49067.8136585117	46527.4647120999	44490.717358992	58406.2913802114	49585.0450013167	56518.8587904847	84689.7355420134	67746.2366930161	76884.0780898667	55754.8830998925	67705.6435263754	54378.8410133108
AT1G68880	274.94300768072	470.767756782182	301.169742401595	248.350034437504	236.138383833874	427.708429213331	557.870098115902	462.226574253009	578.328559038504	402.346306264642	325.706323494906	554.79391695828	671.021050165518	610.358976422743	654.961163802149	627.971843210365	1041.94514816839	620.550229919793	364.593766298496	327.104187566802	888.423564673101	581.577971718615	397.004535190495	365.330048610778	467.778742414733	615.837483764802	589.748113929645	1499.8069627973	1102.65053606893	1252.97643376129	2292.37325109827	1236.95023044231	2194.01440831735	4053.77635327354	4926.72136592333	4381.17303688599	7096.8704714793	7237.12971736798	7661.41347365186	15742.5675772641	10600.7793912561	10924.7494233805	10080.1797479443	11653.2442348739	9632.29610662229
