Target	Log2FC	padj
AT5G47980	1.4845949461289	1.49E-07
AT5G57220	-0.779490975118717	1.54E-07
AT3G48670	0.541197631951016	1.67E-07
AT1G23935	7.27629518289553	1.75E-07
AT1G70260	0.88845295761674	1.81E-07
AT5G01340	-0.615774907275238	1.85E-07
AT3G44798	7.28564356752915	1.94E-07
AT4G04955	0.553425225050173	2.28E-07
AT1G04180	-0.963448779922904	2.29E-07
AT1G12340	-7.14468052065292	2.34E-07
AT1G80970	7.32622347216844	2.34E-07
AT1G25211	7.3421289122445	2.54E-07
AT3G55020	0.354353441421923	2.81E-07
AT3G29644	7.25094644553668	2.99E-07
AT3G47570	-0.752270057983866	3.06E-07
AT5G46950	-5.23135214440603	3.06E-07
AT5G49880	0.44344521445762	3.19E-07
AT1G23940	2.04356032569635	3.21E-07
AT5G43360	-7.11443279145075	3.25E-07
AT3G28030	0.607556182708591	3.28E-07
AT5G45280	-0.467301584408146	3.41E-07
AT1G80730	1.41080764185589	3.57E-07
AT3G62150	-0.822674205076792	3.75E-07
AT3G28580	-0.849438620456179	4.01E-07
AT5G58780	1.00391424967775	4.54E-07
AT5G43725	2.52656918101773	4.90E-07
AT1G17210	0.389493556565427	5.30E-07
AT1G59870	-0.462029560894984	5.32E-07
AT5G58590	0.531881455072049	5.90E-07
AT5G47910	-0.520495394607555	5.93E-07
AT2G35710	-0.965137147500898	5.96E-07
AT4G00390	3.11692319210404	5.96E-07
AT1G55450	-0.73290965580696	6.22E-07
AT1G11540	0.773626082363058	6.54E-07
AT4G14680	-0.91342512025623	6.54E-07
AT1G02280	-0.697536693691749	7.35E-07
AT5G43050	2.22674488550616	7.67E-07
AT1G09890	-2.23543518532296	7.85E-07
AT3G28130	2.37884018507244	7.96E-07
AT5G57565	2.08771590168132	9.17E-07
AT5G25120	1.5898415867209	9.63E-07
AT1G64170	1.04163593393132	9.66E-07
AT1G69920	-1.64450433751395	1.00E-06
AT1G22220	0.761763582770442	1.03E-06
AT1G78090	-1.32641016393657	1.11E-06
AT5G44930	1.46482645509866	1.14E-06
AT1G77160	2.09113956102406	1.17E-06
AT3G47348	1.83008835130629	1.17E-06
AT5G65500	-1.52362302569832	1.24E-06
AT1G61360	-0.698802916005489	1.26E-06
AT3G29110	1.58446390972816	1.26E-06
AT5G49640	0.964613553356425	1.29E-06
AT5G40780	0.358262122347574	1.30E-06
AT1G78780	0.903051473109365	1.33E-06
AT1G07790	-0.559172700714531	1.38E-06
AT2G01340	-0.84932692825107	1.50E-06
AT1G19960	-1.44610983233691	1.52E-06
AT1G64160	-1.37763838261377	1.57E-06
AT1G71870	1.28696728584742	1.59E-06
AT3G04220	-1.22658168067899	1.61E-06
AT3G47675	7.0054994424106	1.72E-06
AT1G01560	-1.60983376727221	1.73E-06
AT3G28140	1.48922337295886	1.82E-06
